FOODID;FOODNAME;LANG
474;TÄYSMEHU, MARJATÄYSMEHU, MAKEUTTAMATON;FI
476;HILLO, FRUKTOOSILLA MAKEUTETTU;FI
477;MELONI, VERKKOMELONI/CANTALOUPEMELONI, KUORITTU;FI
478;MARJAJUOMA, NEKTARI, MARJAPITOISUUS 50 %;FI
500;VOI;FI
501;RASVASEOS 80%;FI
528;SYVÄPAISTORASVA 100%, UPPOPAISTORASVA;FI
529;TEOLLISUUSMARGARIINI 80%, KAULINTA;FI
530;LEIPOMOTEOLLISUUSMARGARIINI 80%, LEIVONTA;FI
531;RUOKAÖLJY TEOLLISUUSKÄYTTÖÖN, 70% RYPSIÖLJYÄ, 30% PALMUÖLJYÄ;FI
535;RYPSIÖLJY;FI
536;OLIIVIÖLJY;FI
540;AURINGONKUKKAÖLJY;FI
541;RUOKAÖLJY KESKIARVO, 80% RYPSIÖLJYÄ, 14% AURINGONKUKKAÖLJYÄ;FI
542;SOIJAÖLJY;FI
543;MAISSIÖLJY;FI
550;PAISTINRASVA, LAARDI;FI
552;KOOKOSRASVA 100 %;FI
553;TALI, RAAKA NAUDANRASVA;FI
562;MAJONEESI, HAMPURILAISKASTIKE, RASVAA 60 %;FI
563;SALAATINKASTIKE, RANSKALAINEN;FI
565;RASVASEOS 40%, KEVYT LEVI, VÄHEMMÄN SUOLAA , VL;FI
568;MARGARIINI 60%, RAINBOW/PIRKKA/ELDORADO;FI
570;RASVASEOS 40%, KEVYT LEVI VL;FI
572;MARGARIINI 40%, LÄTTA;FI
576;VOI, SUOLATON;FI
578;MAJONEESI, RASVAA 27-33 %;FI
579;SALAATINKASTIKE, RASVAA <17%, VÄHÄRASVAINEN;FI
585;VOI, VOIMAKASSUOLAINEN;FI
586;RASVASEOS 80%, VOIMAKASSUOLAINEN;FI
593;LEIVONTAMARGARIINI 80%, PIRKKA/RAINBOW/ELDORADO;FI
597;RASVASEOSLEVITE 75%;FI
598;VOIÖLJY 100%, MAITORASVAA;FI
599;KASVIRASVALEVITE 32%, BENECOL KEVYT;FI
600;MAITO, TILAMAITO, RAAKAMAITO, RASVAA 4,4 %, EI LISÄTTY D-VITAMIINIA;FI
602;TERNIMAITO;FI
604;MAITO, KUTUNMAITO, VUOHENMAITO;FI
606;RASVATON MAITO, D-VITAMIINIA 1 UG;FI
611;PIIMÄ, TALOUSPIIMÄ, RASVAA 0,8 %, D-VIT 0,5 UG;FI
612;PIIMÄ, RASVATON, D-VIT 1 UG;FI
613;PIIMÄ, KIRNUPIIMÄ, RASVAA 0,3 %, D-VIT 1 UG;FI
615;KERMAVIILI, RASVAA 10-12%;FI
616;PIIMÄ, ASIDOFILUSPIIMÄ, RASVAA 2,5 %, D-VIT 1 UG, PROBIOOTTEJA;FI
617;VIILI, MAUSTAMATON, RASVAA 3,5 %;FI
618;VIILI, MAUSTAMATON, KEVYTVIILI, RASVAA 2 %;FI
619;JOGURTTI, MAUSTAMATON, RASVAA 2,5 %, VL;FI
622;RAHKA, MAITORAHKA, MAUSTAMATON, RASVAA  <0,5 %;FI
627;YKKÖSMAITO, RASVAA 1 %, D-VITAMIINIA 1UG;FI
628;CREME FRAICHE, RANSKANKERMA, RASVAA 28 %;FI
629;KERMA, VISPIKERMA, RASVAA 38 % ,VL, ISKUKUUMENNETTU;FI
630;SMETANA, RASVAA N. 40 %;FI
632;RUOANVALMISTUSKERMA, RASVAA 19 %, KAHVIKERMA;FI
633;KERMA, KAHVIKERMA, KEVYT, RASVAA 10 %, VL;FI
635;RAEJUUSTO, RASVATON, VL;FI
636;VIILI, MAUSTETTU HILLOLLA, YKKÖSVIILI, RASVAA 1 %, VL;FI
637;JOGURTTI, MAUSTAMATON, RASVATON, VL, D-VIT 0,5 UG;FI
639;JOGURTTI, MAUSTETTU, RASVATON;FI
640;JUUSTO, VALKOHOMEJUUSTO, RASVAA 26-30 %, CAMEMBERT/BRIE;FI
641;JUUSTO, KERMAJUUSTO, RASVAA 30 %, TURUNMAA/OLTERMANNI/KORSHOLM/MASURKKA;FI
642;JUUSTO, EMMENTALJUUSTO, RASVAA 27-30 %, PUNALEIMA;FI
643;JUUSTO, KOVA PIENIKOLOINEN JUUSTO, RASVAA 24-27 %, EDAM;FI
644;JUUSTO, PUOLIKOVA JUUSTO, RASVAA 9-11 %, KEVYT, EDAM/KADETT;FI
645;JUUSTO, KUTUNJUUSTO, RASVAA 20-25 %, KOVA JUUSTO;FI
647;SULATEJUUSTO, RASVAA 20-24 %, KESKIRASVAINEN;FI
648;SULATEJUUSTO, RASVAA 27-35 %, RUNSASRASVAINEN;FI
649;RAEJUUSTO, RASVAA 2-5 %;FI
650;JUUSTO, KOTIJUUSTO, RASVAA 9-14 %, MAALAISJUUSTO;FI
653;JUUSTO, SINIHOMEJUUSTO, RASVAA 27-30 %, AURA/DANAZOLE, KESKIARVO;FI
654;JUUSTO, GOUDA/SALANEUVOS, RASVAA 28-30 %, RASVAA 48 % KUIVAPAINOSTA, KESKIARVO;FI
655;JUUSTO, PUOLIKOVA JUUSTO, RASVAA 25-35 %, LAPPI/SMÅLAND/BILLINGE/RUSTHOLLI;FI
657;JUUSTO, LEIPÄJUUSTO, RASVAA 17-23 %;FI
658;TUOREJUUSTO, RASVAA 36-44 %, RUNSASRASVAINEN, KASAKKA/MUSTA-PEKKA;FI
659;SULATEJUUSTO, RASVAA 9-12 %, VÄHÄRASVAINEN;FI
661;JÄÄTELÖ, PEHMYTJÄÄTELÖ, VOHVELI;FI
663;JÄÄTELÖ, KERMAJÄÄTELÖ;FI
664;JÄÄTELÖ, KERMAJÄÄTELÖPUIKKO, SUKLAAKUORRUTE, KESKIARVO;FI
665;JÄÄTELÖ, KERMAJÄÄTELÖTUUTTI;FI
666;JÄÄTELÖ, MAITOJÄÄTELÖ;FI
667;JÄÄTELÖ, SOKERITON, KEINOTEKOISESTI MAKEUTETTU, RASVAA 6,5 %;FI
668;JÄÄTELÖ, KERMAJÄÄTELÖ, RASVAA YLI 12 %, KESKIARVO;FI
669;JÄÄTELÖ, RASVATON;FI
672;MAITOJAUHE RASVATON;FI
675;KEVYTMAITO, RASVAA 1,5 %, VL, D-VITAMIINIA 1 UG;FI
680;VIILI, MAUSTAMATON, RASVAA 1 %, YKKÖSVIILI;FI
682;TUOREJUUSTO, RASVAA 30 %, CREMEBONJOUR/CANTADOU;FI
684;KEVYTMAITO, RASVAA 1,5 %, D-VITAMIINIA 1 UG;FI
685;JOGURTTI, MAUSTETTU, RASVATON, OSITTAIN KEINOTEKOISESTI MAKEUTETTU, KA.;FI
686;JOGURTTI, MAUSTETTU, RASVAA 7 %;FI
687;RUOANVALMISTUSJOGURTTI, RASVAA 6-8 %, VL;FI
689;TÄYSMAITO, RASVAA 3,5 %, D-VITAMIINIA 1 UG;FI
690;JUUSTO, SALAATTIJUUSTO, RASVAA 18 %, LEHMÄNMAITO, SUOLALIEMESSÄ;FI
691;JUUSTO, EMMENTALJUUSTO, RASVAA 27-30 %, SUURIKOLOINEN, SINILEIMA/GRUYERE;FI
698;JUUSTO, CHEDDAR, RASVAA 34 %;FI
699;RUOANVALMISTUSKERMA, KASVIRASVAKERMA, RASVAA 15 %;FI
701;SIANRUHO, KESKIRASVAINEN;FI
703;SIANKYLJYS/SELKÄ, PAKSU RASVAKERROS;FI
704;SIANKINKKU, SILAVOINEEN;FI
705;SIANLAPA;FI
706;SIANKYLKI;FI
707;PEKONI, RASVAINEN;FI
708;SIAN SELKÄSILAVA;FI
709;SIANPOTKA;FI
711;JAUHELIHA, SIKA-NAUTA;FI
712;JAUHELIHA, NAUDAN, VÄHÄRASVAINEN, RASVAA 7 %;FI
713;SIANLIHA, KESKIARVO;FI
714;NAUDANLIHA, KESKIARVO;FI
716;NAUDANRUHO, KESKIRASVAINEN, 13 % RASVAA;FI
718;NAUDANPAISTI;FI
719;NAUDANLAPA/ETUSELKÄ;FI
720;NAUDANPOTKA;FI
721;NAUDANRINTA;FI
722;NAUDANFILEE;FI
723;NAUDANKYLKI;FI
726;VASIKANPAISTI;FI
730;LAMPAANLIHA, VÄHÄRASVAINEN;FI
731;LAMPAANLIHA, RASVAINEN;FI
732;LAMPAANPAISTI;FI
734;PORONLIHA;FI
735;HIRVENLIHA;FI
736;JÄNIS;FI
737;KANI;FI
741;LIHASÄILYKE, NAUDANLIHA;FI
743;LIHASÄILYKE, SIKA-NAUTA;FI
747;LIHAHYYTELÖ;FI
748;SIANPAISTI, VÄHÄRASVAINEN;FI
750;KANA;FI
751;BROILERI, KOKONAINEN, NAHKOINEEN, RAAKA;FI
752;KALKKUNA NAHKOINEEN;FI
753;METSÄLINTU;FI
754;BROILERISUIKALE, KESKIARVO;FI
775;KOKOLIHALEIKKELE, SAUNAPALVIKINKKU, RASVAA 6 %;FI
776;KOKOLIHALEIKKELE, NAUDANLIHALEIKKELE, RASVAA 2,8 %;FI
779;KOKOLIHALEIKKELE, KEITTOKINKKU, RASVAA 4,5 %;FI
786;MAKSA, NAUDAN;FI
787;MAKSA, SIAN;FI
788;MAKSA, BROILERIN;FI
789;MAKSA, PORON;FI
790;MAKSA, KESKIARVO;FI
791;MUNUAINEN;FI
792;SYDÄN, NAUDAN;FI
793;KIELI, NAUDAN;FI
794;VERI;FI
797;KOKOLIHALEIKKELE, POROLEIKKELE, KYLMÄSAVUSTETTU;FI
799;KOKOLIHALEIKKELE, KINKKULEIKKELE, VÄHÄRASVAINEN, RASVAA 3,1%;FI
800;SILAKKA, TUORE, ITÄMERI;FI
801;SILAKKA, SUOLATTU, ITÄMERI;FI
802;SILAKKA, SAVUSTETTU, ITÄMERI;FI
803;SILLI, TYNNYRIIN SUOLATTU;FI
804;TURSKA;FI
805;KUHA;FI
806;PUNA-AHVEN, SAVUSTETTU;FI
807;SINIPALLAS, SAVUSTETTU;FI
809;MUIKKU JÄRVI;FI
810;MUIKKU, JÄRVI, SUOLATTU;FI
811;MUIKKU, JÄRVI, SAVUSTETTU;FI
812;AHVEN;FI
813;HAUKI;FI
814;LAHNA;FI
815;SIIKA;FI
816;SIIKA, SAVUSTETTU;FI
817;LOHI, KOKONAINEN;FI
818;LOHI, TUORESUOLATTU;FI
819;MADE;FI
820;KAMPELA;FI
821;ANKERIAS;FI
